etiqueta,valor,valores_validos,descripcion
tipo_votacion,texto_sustitutorio,"texto_substitutorio, cuestion_orden",Tipo de Votacion. 
reglamento_congreso_articulos,lista de numeros separados por coma,Articulos relacionados a la votacion.
cuestion_order_planteado_por,texto,nombre de congresista planteando la cuestion de orden. Seguir formato de APELLIDOS NOMBRES
proyectos_ley,602,lista de numeros separados por coma,Proyectos de ley afectados por la votacion.
leyes,lista de numeros separados por coma,Leyes afectadas por votacion.
proyectos_resolucion_legislativa,lista de numeros separados por coma
resoluciones_legislativas,lista de numeros separados por coma
temas,lista de temas relacionados a la votacion.e.g. covid_19
mociones,lista de numeros de mocion separados por coma
